image_name,category_id,split,image_path,label
img/Boho_Doll_Paisley_Joggers/img_00000015.jpg,29,test,data/raw/deepfashion/img/Boho_Doll_Paisley_Joggers/img_00000015.jpg,dress
img/Mineral_Wash_Cuffed_Denim_Shorts/img_00000017.jpg,32,test,data/raw/deepfashion/img/Mineral_Wash_Cuffed_Denim_Shorts/img_00000017.jpg,dress
img/Favorite_Ankle_Leggings/img_00000002.jpg,30,test,data/raw/deepfashion/img/Favorite_Ankle_Leggings/img_00000002.jpg,dress
img/Diagonal_Plaid_Skirt/img_00000045.jpg,33,test,data/raw/deepfashion/img/Diagonal_Plaid_Skirt/img_00000045.jpg,dress
img/Checkered_Leggings/img_00000024.jpg,30,test,data/raw/deepfashion/img/Checkered_Leggings/img_00000024.jpg,dress
img/Tropical_Hibiscus_Drawstring_Shorts/img_00000027.jpg,32,test,data/raw/deepfashion/img/Tropical_Hibiscus_Drawstring_Shorts/img_00000027.jpg,dress
img/Cable_Knit_Mock-Neck_Sweater/img_00000021.jpg,16,test,data/raw/deepfashion/img/Cable_Knit_Mock-Neck_Sweater/img_00000021.jpg,dress
img/Refined_Twill_Shorts/img_00000017.jpg,32,test,data/raw/deepfashion/img/Refined_Twill_Shorts/img_00000017.jpg,dress
img/Houndstooth_Plaid_Shorts/img_00000003.jpg,32,test,data/raw/deepfashion/img/Houndstooth_Plaid_Shorts/img_00000003.jpg,dress
img/Distressed_Denim_Bermuda_Shorts/img_00000076.jpg,32,test,data/raw/deepfashion/img/Distressed_Denim_Bermuda_Shorts/img_00000076.jpg,dress
img/Fold-Over_Capri_Leggings/img_00000056.jpg,30,test,data/raw/deepfashion/img/Fold-Over_Capri_Leggings/img_00000056.jpg,dress
img/Heathered_Mesh-Paneled_Leggings/img_00000010.jpg,30,test,data/raw/deepfashion/img/Heathered_Mesh-Paneled_Leggings/img_00000010.jpg,dress
img/Diagonal_Plaid_Skirt/img_00000018.jpg,33,test,data/raw/deepfashion/img/Diagonal_Plaid_Skirt/img_00000018.jpg,dress
img/Cable-Knit_Pencil_Skirt/img_00000015.jpg,33,test,data/raw/deepfashion/img/Cable-Knit_Pencil_Skirt/img_00000015.jpg,dress
img/Abstract_Grid_Print_Pleated_Shorts/img_00000029.jpg,32,test,data/raw/deepfashion/img/Abstract_Grid_Print_Pleated_Shorts/img_00000029.jpg,dress
img/Faux_Leather_A-Line_Skirt/img_00000040.jpg,33,test,data/raw/deepfashion/img/Faux_Leather_A-Line_Skirt/img_00000040.jpg,dress
img/Chevron_Knit_Crewneck_Sweater/img_00000046.jpg,16,test,data/raw/deepfashion/img/Chevron_Knit_Crewneck_Sweater/img_00000046.jpg,dress
img/Scarf-Print_Pencil_Skirt/img_00000054.jpg,33,test,data/raw/deepfashion/img/Scarf-Print_Pencil_Skirt/img_00000054.jpg,dress
img/Smocked_Ruffle-Trim_Shorts/img_00000017.jpg,32,test,data/raw/deepfashion/img/Smocked_Ruffle-Trim_Shorts/img_00000017.jpg,dress
img/Baroque_Print_Shorts/img_00000029.jpg,32,test,data/raw/deepfashion/img/Baroque_Print_Shorts/img_00000029.jpg,dress
img/Cuffed_Chino_Shorts/img_00000008.jpg,32,test,data/raw/deepfashion/img/Cuffed_Chino_Shorts/img_00000008.jpg,dress
img/Cotton_&_Linen_Pleated_Shorts/img_00000046.jpg,32,test,data/raw/deepfashion/img/Cotton_&_Linen_Pleated_Shorts/img_00000046.jpg,dress
img/Textured_Damask_Mini_Skirt/img_00000006.jpg,33,test,data/raw/deepfashion/img/Textured_Damask_Mini_Skirt/img_00000006.jpg,dress
img/Linen-Blend_Drawstring_Shorts/img_00000011.jpg,32,test,data/raw/deepfashion/img/Linen-Blend_Drawstring_Shorts/img_00000011.jpg,dress
img/Knit_Crew_Neck_Sweater/img_00000011.jpg,16,test,data/raw/deepfashion/img/Knit_Crew_Neck_Sweater/img_00000011.jpg,dress
img/Collared_Crossover_Sweater_Coat/img_00000007.jpg,39,test,data/raw/deepfashion/img/Collared_Crossover_Sweater_Coat/img_00000007.jpg,dress
img/Garment_Dyed_Chino_Joggers/img_00000063.jpg,29,test,data/raw/deepfashion/img/Garment_Dyed_Chino_Joggers/img_00000063.jpg,dress
img/High_Slit_Midi_Skirt/img_00000002.jpg,33,test,data/raw/deepfashion/img/High_Slit_Midi_Skirt/img_00000002.jpg,dress
img/Fuzzy_Striped_Sweater/img_00000020.jpg,16,test,data/raw/deepfashion/img/Fuzzy_Striped_Sweater/img_00000020.jpg,dress
img/Miami_Heat_Athletic_Shorts/img_00000014.jpg,32,test,data/raw/deepfashion/img/Miami_Heat_Athletic_Shorts/img_00000014.jpg,dress
img/Striped_Sweater/img_00000050.jpg,16,test,data/raw/deepfashion/img/Striped_Sweater/img_00000050.jpg,dress
img/Pleated_Faux_Leather_Skirt/img_00000041.jpg,33,test,data/raw/deepfashion/img/Pleated_Faux_Leather_Skirt/img_00000041.jpg,dress
img/Southwestern-Patterned_Shorts/img_00000031.jpg,32,test,data/raw/deepfashion/img/Southwestern-Patterned_Shorts/img_00000031.jpg,dress
img/Southwestern_Print_Pleated_Skirt/img_00000007.jpg,33,test,data/raw/deepfashion/img/Southwestern_Print_Pleated_Skirt/img_00000007.jpg,dress
img/Classic_Pleated_Shorts/img_00000013.jpg,32,test,data/raw/deepfashion/img/Classic_Pleated_Shorts/img_00000013.jpg,dress
img/Colorblock_Performance_Shorts/img_00000026.jpg,32,test,data/raw/deepfashion/img/Colorblock_Performance_Shorts/img_00000026.jpg,dress
img/Embroidered_Mini_Skirt/img_00000007.jpg,33,test,data/raw/deepfashion/img/Embroidered_Mini_Skirt/img_00000007.jpg,dress
img/Quilted_Chevron_Sweatpants/img_00000024.jpg,34,test,data/raw/deepfashion/img/Quilted_Chevron_Sweatpants/img_00000024.jpg,dress
img/Performance_Workout_Shorts/img_00000070.jpg,32,test,data/raw/deepfashion/img/Performance_Workout_Shorts/img_00000070.jpg,dress
img/Boxy_Open-Knit_Sweater/img_00000053.jpg,16,test,data/raw/deepfashion/img/Boxy_Open-Knit_Sweater/img_00000053.jpg,dress
img/Knit_Bandage_Skirt/img_00000023.jpg,33,test,data/raw/deepfashion/img/Knit_Bandage_Skirt/img_00000023.jpg,dress
img/Textured_Stripe_Cowl_Neck_Sweater/img_00000047.jpg,16,test,data/raw/deepfashion/img/Textured_Stripe_Cowl_Neck_Sweater/img_00000047.jpg,dress
img/Scuba_Knit_Paneled_Leggings/img_00000018.jpg,30,test,data/raw/deepfashion/img/Scuba_Knit_Paneled_Leggings/img_00000018.jpg,dress
